feature_id;pim_attribute_code;ignore_flag;feature_type;feature_name;feature_description;feature_unit
6326;icecat_6326;0;text;"Hard disk drive, video scan speed";;
8317;icecat_8317;0;numerical;"Number of wrenches/sockets";;
30445;icecat_30445;0;numerical;"Width (min)";;mm
18222;icecat_18222;0;y_n;"Auto calibration";;
1597;icecat_1597;0;2d;"Video capture resolution (max)";;pixels
14216;icecat_14216;0;;"Program Auto Exposure (AE)";;
8495;icecat_8495;0;multi_dropdown;"Subtitles language";;
18435;icecat_18435;0;;"Relative humidity range";;
4732;icecat_4732;0;y_n;"Specially designed steam holes for best steam flow";;
2528;icecat_2528;0;numerical;"Total Harmonic Distortion (THD)";"Total harmonic distortion is a measure of non-linear harmonic\n\ndistortion and is given in %. Non-linear harmonic distortions are\n\nsignals which were not present in the original before the signal was\n\nconverted by the headphones. These unwanted signals are caused by the\n\ndiaphragm, whose movements do not precisely move in time with the\n\nelectric signals that cause it to move. Unfortunately, this is a\n\nfeature of all electroacoustic transducers. Although it cannot be\n\ncompletely eliminated, suitable steps can be taken to minimise it.\n\nHowever, the user is not interested in why this distortion takes place\n\nbut in how great the level of distortion must be for it to become\n\nperceptible. According to the findings of several research projects, a\n\ntotal harmonic distortion of 1% in the frequency range of 100 to 2000\n\nHz is imperceptible. Below 100 Hz, the perceptibility threshold lies\n\nat 10%.";%
8804;icecat_8804;0;numerical;"Input operation voltage (min)";"The minumum voltage needed by the device during operation.";V
18736;icecat_18736;0;numerical;"Design temperature";;°C
26060;icecat_26060;0;y_n;"Easy care washing program";;
14991;icecat_14991;0;;"Bluetooth (2.1)";;
16441;icecat_16441;0;numerical;"Oven installation compartment width";"The size of the oven compartment from one side to the other (left to right).";mm
13409;icecat_13409;0;;"Hard-wired audio mute";;
11925;icecat_11925;0;numerical;"Number of alarm times";;
12074;icecat_12074;0;;"Easy temperature control";;
3037;icecat_3037;0;text;"Audio adapter type";;
26570;icecat_26570;0;numerical;"Number of stand modes";;
24381;icecat_24381;0;;"TV without table-top stand (W x H x D)";;cm
13760;icecat_13760;0;;"Xross Media Bar (XMB)";;
7817;icecat_7817;0;y_n;"Dust catch system";;
29345;icecat_29345;0;text;"Gate release time";;ms
